"Org Name","EIN","Current FY Start","Current FY End","Ruling Year","Form Year","Form Type","Address Line 1","Address Line 2","City","State","County",Zip,"Org Phone Number","Web Address","IRS Subsection","Subject Area 1","Subject Area 2","Subject Area 3","NTEE Code","NAICS Code","SIC Code1","SIC Code2","Audit Required?","Has filed 990T?","Paid Preparer Firm Name","Link to GS Profile Page","Link to most recent Form 990","Total Assets","Cash & Equivalent","Investments Securities","Net Assets","Temporarily Restricted Net Assets","Permanently Restricted Net Assets","Unrestricted Net Assets","Total Revenue","Gross Receipts","Investment Income","Total Contributions","Government Grants","Special Events","Sales","Program Services Revenue","Total Liabilities","Loans and Notes","Tax-Exempt Bond Liabilities","Total Expenses","Total Program Expenses","Total Administrative Expenses","Total Fundraising Expenses","Accounting Fees","Advertising Expenses","Information Technology Expenses","Insurance Expenses","Interest Expenses","Investment Management Fees","Legal Fees","Pension Plan Contributions   Employee Benefits","Printing and Publications","Professional Fundraising Expenses","Principal Officer","Org Leader","Primary Contact Name","Primary Contact Title","Primary Contact Email","Number of Employees"
"Twenty First Century Foundation","13-3363860","2012-01-01","2012-12-31","1971","2012","990","132 W 112th St","","New York","NY","New York",="10026","(212) 662-3700","www.21cf.org","501(c)(3) Public Charity","Foundations","Leadership development","Human rights","T30 (Public Foundations)","813211","6732","","N","","RAICH ENDE MALTER & CO LLP","http://www.guidestar.org/profile/13-3363860","http://www.guidestar.org/FinDocuments/2012/133/363/2012-133363860-09ea043e-9.pdf","$0","$0","$0","$0","","","$0","$7,835","$7,835","","","","","","","$0","$0","","$249,478","$53,000","$196,478","$0","$20,000","$500","","","","","$24,380","","","","NATHANIEL THOMPKINS","Ms. Chandra Anderson ","Ms. Alexandra Rojas ","Director of Administration","arojas@21cf.org","0"
"Happy Harbor Day Care Center Inc","13-3365358","2012-01-01","2012-12-31","1994","2012","990","95 Broadway","","Hastings ON Hudson","NY","Westchester",="10706","914-423-4676","WWW.HAPPYHARBOR.NET","501(c)(3) Public Charity","Child care","","","P33 (Child Day Care)","624410","8351","","N","","Don Settanni, CPA, PLLC","http://www.guidestar.org/profile/13-3365358","http://www.guidestar.org/FinDocuments/2012/133/365/2012-133365358-0957c8fb-9.pdf","$0","$0","","$0","","","$0","$407,568","$407,568","$330","$30,826","$27,151","$3,423","","$372,644","$0","$0","","$641,078","$461,994","$179,084","$0","$8,925","","","$3,961","","","","$2,098","","","Cindy Veazey","","Ms. Cindy Veazey ","Executive Director","hh3c@netzero.net",""
"Bronx Kosher Food Pantry","13-3365380","","","1987","","","5625 Arlington Ave","","Bronx","NY","Bronx",="10471","","","501(c)(3) Public Charity","Food banks","","","K31 (Food Banks, Food Pantries)","624210","8322","","","","","http://www.guidestar.org/profile/13-3365380","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"God's Love We Deliver, Inc.","13-3366846","2018-07-01","2019-06-30","1987","2018","990","166 Avenue of The Americas","","New York","NY","New York",="10013","(212) 294-8100","www.glwd.org","501(c)(3) Public Charity","Nutrition","Food aid","Food delivery","K40 (Nutrition Programs)","624190","8322","","Y","Y","BKD LLP","http://www.guidestar.org/profile/13-3366846","http://www.guidestar.org/FinDocuments/2018/133/366/2018-133366846-10baeb31-9.pdf","$39,704,982","$2,709,550","$4,983,660","$38,376,684","$869,986","$0","$37,506,698","$18,290,740","$20,957,486","$159,335","$15,254,715","$4,501,235","-$938,616","$16,702","$3,580,639","$1,328,298","$0","$0","$19,607,724","$15,384,582","$1,078,119","$3,145,023","$67,894","$0","$0","$222,794","$0","$0","$142,827","$175,714","","$0","KAREN PEARL","Ms. Karen Pearl ","Mr. Emmett Findley ","Director of Communications","efindley@glwd.org","138"
"Msgr Robert Fox Memorial Shelter Fox House","13-3368998","2018-07-01","2019-06-30","1987","2018","990","111 E 117th St","","New York","NY","New York",="10035","212-534-6634","N/A","501(c)(3) Public Charity","Homeless shelters","","","L41 (Temporary Shelter For the Homeless)","624221","8322","","N","","PRAGER METIS CPAS LLC","http://www.guidestar.org/profile/13-3368998","http://www.guidestar.org/FinDocuments/2018/133/368/2018-133368998-1097ebb9-9.pdf","$423,968","$345","","$41,349","","","$41,349","$1,154,032","$1,154,032","$11","","","","","$1,151,796","$382,619","$0","","$1,104,677","$984,180","$120,497","$0","$7,450","","","$28,988","","","","","","","MATTHEW JANECZKO","","","","","16"
"St Barnabas College Fund Inc","13-3369890","","","1987","","","11 Summer St","","Buffalo","NY","Erie",="14209","","","501(c)(3) Public Charity","Education","","","B11 (Single Organization Support)","813219","8399","","","","","http://www.guidestar.org/profile/13-3369890","http://www.guidestar.org/FinDocuments/2006/133/369/2006-133369890-02da6d81-9.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I Have A Dream Foundation - New York","13-3370648","2017-09-01","2018-08-31","1987","2017","990","322 8th Ave Ste 202","","New York","NY","New York",="10001","(212) 22935488","www.ihaveadreamny.org","501(c)(3) Public Charity","Education services","Youth services","Youth organizing","B90 (Educational Services and Schools - Other)","611710","8299","8748","N","","FRIEDMAN LLP","http://www.guidestar.org/profile/13-3370648","http://www.guidestar.org/FinDocuments/2018/133/370/2018-133370648-10f8d9cd-9.pdf","$429,830","$363,829","","$411,939","$401,536","","$10,403","$1,902,590","$1,902,590","$717","$1,901,873","$82,500","","","","$17,891","$0","","$1,984,637","$1,714,203","$267,484","$2,950","$5,787","","","$19,553","$1,616","","","","","","MATTHEW WRIGHT","Mr. Thierry Cazeau ","Mr. Thierry Cazeau ","Executive Director","tcazeau@ihaveadreamny.org","22"
"Jewish Renaissance Center","13-3370708","","","1987","","","441 W End Ave","","New York","NY","New York",="10024","","","501(c)(3) Public Charity","Adult education","Judaism","","X30 (Jewish)","813110","8661","","","","","http://www.guidestar.org/profile/13-3370708","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Westchester & Putnam College Conferences Inc","13-3371342","2017-07-01","2018-06-30","1990","2017","990EZ","PO Box 90","","Crompond","NY","Westchester",="10517","914-739-2313","WESTPUTOPTONLINE.NET","501(c)(3) Public Charity","Education services","","","B90 (Educational Services and Schools - Other)","611710","8299","8748","","","MICHAEL P SERVODIDIO ESQ","http://www.guidestar.org/profile/13-3371342","http://www.guidestar.org/FinDocuments/2018/133/371/2018-133371342-108181ed-Z.pdf","$1,514","$1,514","","$1,514","","","","$97,516","$97,516","$16","","","","","$97,500","","","","$96,340","","","","","","","","","","","","","","","","","","",""
"The ASME Foundation, Inc.","13-3372934","2017-07-01","2018-06-30","1986","2017","990","1828 L St NW Ste 510","","Washington","DC","District of Columbia",="20036","(202) 785-7385","https://www.asmefoundation.org/","501(c)(3) Public Charity","Education","Public safety","Graduate and professional education","B03 (Professional Societies & Associations)","813920","8621","","N","","KPMG LLP","http://www.guidestar.org/profile/13-3372934","http://www.guidestar.org/FinDocuments/2018/133/372/2018-133372934-10acdfa5-9.pdf","$25,335,656","$2,493,360","$22,348,144","$24,949,438","$11,899,870","$5,282,175","$7,767,393","$5,441,199","$8,200,172","$499,277","$4,800,976","","$0","$0","$0","$386,218","$0","$0","$2,607,474","$1,652,503","$398,560","$556,411","$14,500","$50,415","$0","$0","$0","$37,032","$56,510","$0","","$198,813","ANAND SETHUPATHY","Ms. Kathleen Lobb ","Ms. Kathleen F Lobb ","Managing Director, Philanthropy and Executive Director","lobbk@asme.org","0"
"Win Housing Development Fund Company Inc","13-3376303","2017-07-01","2018-06-30","1987","2017","990","1 State St Fl 18","","New York","NY","New York",="10004","212-695-4758","WWW.WINNYC.ORG","501(c)(3) Public Charity","Housing for the homeless","Homeless shelters","Homeless services","L21 (Public Housing)","531110","6513","6514","N","","BKD LLP","http://www.guidestar.org/profile/13-3376303","http://www.guidestar.org/FinDocuments/2018/133/376/2018-133376303-10c6f439-9.pdf","$782,819","$2,826","$0","$782,819","$0","$0","$782,819","$38,470","$38,470","$0","$0","","$0","$0","$38,470","$0","$0","$0","$38,470","$38,370","$100","$0","$0","$0","$0","$0","$0","$0","$0","$0","","$0","RONDEL D BOODRAM","","","","","3"
"Nysernetorg Inc","13-3378833","2018-01-01","2018-12-31","1986","2018","990","100 S Salina St Ste 300","","Syracuse","NY","Onondaga",="13202","315-413-0345","www.nysernet.org","501(c)(3) Public Charity","Educational management","","","B02 (Management & Technical Assistance)","541618","8748","","N","Y","","http://www.guidestar.org/profile/13-3378833","http://www.guidestar.org/FinDocuments/2018/133/378/2018-133378833-10dc0f0b-9.pdf","$20,131,382","$2,619,496","$6,873,415","$13,136,567","","","$13,136,567","$8,770,546","$8,930,509","$82,373","$662,000","","","","$8,033,582","$6,994,815","$0","","$8,593,005","$6,707,535","$1,858,995","$26,475","$19,900","","$68,473","$76,201","$71,242","$1,761","$80,181","$123,594","","","Stephen R Kankus","","","","","19"
"The Hub at Washingtonville Inc","13-3380633","","","1987","","","PO Box 404","","Washingtonville","NY","Orange",="10992","","","501(c)(3) Public Charity","Senior assisted living","","","P75 (Senior Continuing Care Communities)","623311","8051","8052","","","","http://www.guidestar.org/profile/13-3380633","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Israel Youth Training Fund Inc","13-3381223","","","1988","","","2 Manhattanville Rd Ste 40","","Purchase","NY","Westchester",="10577","","","501(c)(3) Public Charity","Job training","Youth organizing","","O12 (Fund Raising and/or Fund Distribution)","813219","8399","","","","","http://www.guidestar.org/profile/13-3381223","http://www.guidestar.org/FinDocuments/2003/133/381/2003-133381223-1-Z.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"National Sane Education Fund","13-3381823","","","1983","","","475 Riverside Dr # 918","","New York","NY","New York",="10115","","","501(c)(3) Public Charity","Education","","","B99 (Education N.E.C.)","611","","","","","","http://www.guidestar.org/profile/13-3381823","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Depaul Bridgewell Inc","13-3382432","2009-01-01","2009-12-31","2004","2009","990","1931 Buffalo Rd","","Rochester","NY","Monroe",="14624","585-426-8000","www.depaul.org","501(c)(3) Public Charity","Shelter and residential care","","","L99 (Other Housing, Shelter N.E.C.)","624229","8322","","N","","","http://www.guidestar.org/profile/13-3382432","http://www.guidestar.org/FinDocuments/2009/133/382/2009-133382432-066279e5-9.pdf","$0","$0","$0","$0","$0","$0","$0","$1,218,568","$1,218,568","","$36,070","$36,070","","","$47,467","$0","$0","$0","$1,218,568","$1,218,568","$0","$0","","","","","$22,884","","","","","","James M Whalen","","","","","0"
"Alpha Epsilon Pi Fraternity","13-3383553","","","1960","","","250 3rd Ave Apt 5","","New York","NY","New York",="10010","","","501(c)(7) (Social and Recreation Clubs)","Sororities and fraternities","","","B83 (Student Sororities, Fraternities)","813410","8641","8699","","","","http://www.guidestar.org/profile/13-3383553","http://www.guidestar.org/FinDocuments/2010/133/383/2010-133383553-060eddcc-ZO.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mary Mitchell Family and Youth Center Inc","13-3385032","2017-07-01","2018-06-30","1987","2017","990","2007 Mapes Ave","","Bronx","NY","Bronx",="10460","718-583-1765","HTTP://THEMARYMITCHELLFYC.ORG","501(c)(3) Public Charity","Human services","","","O20 (Youth Centers, Clubs, (includes Boys/Girls Clubs)- Multipurpose)","624110","8322","","N","N","","http://www.guidestar.org/profile/13-3385032","http://www.guidestar.org/FinDocuments/2018/133/385/2018-133385032-110e303d-9.pdf","$1,605,073","$146,546","$0","$1,464,906","","","$1,464,906","$1,319,633","$1,319,633","$0","$653,855","$623,855","$0","$0","$665,778","$140,167","$0","","$1,189,152","$1,107,720","$81,432","$0","$0","$0","$0","$12,774","$0","$0","$0","$0","","$0","HEIDI HYNES","","","","","35"
"Friends of the Royal Swedish Chamber Orchestra Inc","13-3385174","","","1988","","","1 Northgate Apt 4c","","Bronxville","NY","Westchester",="10708","","","501(c)(3) Public Charity","Education","","","B99 (Education N.E.C.)","611","","","","","","http://www.guidestar.org/profile/13-3385174","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Community Impact","13-3386904","2018-07-01","2019-06-30","1994","2018","990","Columbia University 105 Earl Hall, Mc 2010","","New York","NY","New York",="10027","212-854-1472","www.columbia.edu/cu/ci","501(c)(3) Public Charity","Nonprofits","Job training","Youth development","O99 (Other Youth Development N.E.C.)","624110","8322","","N","","BKD LLP","http://www.guidestar.org/profile/13-3386904","http://www.guidestar.org/FinDocuments/2018/133/386/2018-133386904-11347566-9.pdf","$4,558,846","$1,102,465","$3,292,157","$3,675,571","$86,783","$2,811,786","$777,002","$1,753,206","$1,801,564","$161,819","$1,588,806","$692,578","$2,581","$0","$0","$883,275","$0","$0","$1,657,183","$1,068,460","$373,950","$214,773","$19,240","$1,440","$9,388","$0","$0","$0","$0","$0","","$0","OLGER C TWYNER III","Ms. Sonia Reese ","Ms. Sonia Reese ","Executive Director","sk19@columbia.edu","52"
"The William G Walters Foundation C/O Whale Securities Corp","13-3387377","2014-12-01","2015-11-30","1988","2014","990PF","15 W 53rd St # 20a","","New York","NY","New York",="10019","212-753-6287","","501(c)(3) Private Nonoperating Foundation","Education","","","B99 (Education N.E.C.)","611","","","","","","http://www.guidestar.org/profile/13-3387377","http://www.guidestar.org/FinDocuments/2015/133/387/2015-133387377-0c51a3b7-F.pdf","$0","","$0","$0","","","","-$2,643","$395","$0","$19,944","","","","","$0","","","$19,994","","","","","","","","","","","","","","","","","","",""
"Center for Psychosocial Issues in the Nuclear Age Inc","13-3387388","","","1987","","","150 Overlook Cir","","New Rochelle","NY","Westchester",="10804","","","501(c)(3) Public Charity","Education","","","B99 (Education N.E.C.)","611","","","","","","http://www.guidestar.org/profile/13-3387388","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Friends of the Benaki Museum in America, Inc.","13-3387393","","","1987","","","299 Park Ave","","New York","NY","New York",="10171","","","501(c)(3) Public Charity","Education","","","B99 (Education N.E.C.)","611","","","","","","http://www.guidestar.org/profile/13-3387393","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Soros Fund Charitable Foundation","13-3388177","2018-01-01","2018-12-31","1987","2018","990PF","250 W 55th St Fl 27","","New York","NY","New York",="10019","","","501(c)(3) Private Nonoperating Foundation","Education","","","B82 (Scholarships, Student Financial Aid, Awards)","813410","8641","8699","","","","http://www.guidestar.org/profile/13-3388177","http://www.guidestar.org/FinDocuments/2018/133/388/2018-133388177-17034064-F.pdf","$51,561,944","$240,121","","$51,561,944","","","","$8,738,159","$9,100,000","$9,100,000","$9,958,676","","","","","$0","","","$10,111,832","","","","","","","","","","","","","","","","","","",""
"Depaul Adult Care Communties Inc","13-3388782","2018-01-01","2018-12-31","1995","2018","990","1931 Buffalo Rd","","Rochester","NY","Monroe",="14624","585-426-8000","www.depaul.org","501(c)(3) Public Charity","Human services","","","P70 (Residential, Custodial Care (Group Home))","623990","8361","","N","","","http://www.guidestar.org/profile/13-3388782","http://www.guidestar.org/FinDocuments/2018/133/388/2018-133388782-1148ff20-9.pdf","$11,272,282","$793,873","$2,737,332","$8,790,634","$0","$0","$8,790,634","$40,736,099","$41,854,996","$82,867","$79,338","$75,278","","","$40,424,430","$2,481,648","$0","","$41,815,672","$38,058,653","$3,757,019","$0","$35,500","$73,015","","","","$14,362","$95,710","$0","","","James M Whalen","","","","","1347"
